Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/prefer.obo.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/prefer.obo.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/prefer.obo.owl	dc:title	
WARN	annotation_whitespace	obo:PREFER_0000140	IAO:0000115	 The rate at which the biomass is produced over time.
WARN	duplicate_exact_synonym	obo:PREFER_UNIT_0000161	oboInOwl:hasExactSynonym	g/g
WARN	duplicate_exact_synonym	obo:PREFER_UNIT_0000164	oboInOwl:hasExactSynonym	g/g
WARN	duplicate_exact_synonym	obo:PREFER_0000062	oboInOwl:hasExactSynonym	co2 evolution rate
WARN	duplicate_exact_synonym	obo:PREFER_0000129	oboInOwl:hasExactSynonym	co2 evolution rate
WARN	duplicate_label_synonym	obo:PREFER_0000129	oboInOwl:hasExactSynonym	carbon dioxide evolution rate
WARN	invalid_xref	obo:PREFER_0000001	oboInOwl:hasDbXref	OBI_0000011
WARN	invalid_xref	obo:PREFER_0000003	oboInOwl:hasDbXref	OBI_0000070
WARN	invalid_xref	obo:PREFER_0000004	oboInOwl:hasDbXref	OBI_0000066
WARN	invalid_xref	obo:PREFER_0000008	oboInOwl:hasDbXref	BAO_0002070
WARN	invalid_xref	obo:PREFER_0000009	oboInOwl:hasDbXref	BAO_0002070
WARN	missing_definition	IAO:0000115	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000161	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000162	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000163	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000164	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000165	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000166	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000167	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000168	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000169	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000170	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000171	IAO:0000115	
WARN	missing_definition	obo:PREFER_UNIT_0000172	IAO:0000115	
WARN	missing_definition	oboInOwl:hasDbXref	IAO:0000115	
WARN	missing_definition	oboInOwl:hasExactSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:hasOBOFormatVersion	IAO:0000115	
WARN	missing_definition	oboInOwl:hasOBONamespace	IAO:0000115	
WARN	missing_definition	oboInOwl:hasRelatedSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:id	IAO:0000115	
INFO	lowercase_definition	obo:PREFER_0000113	IAO:0000115	rate at which the compound is produced over time, indicating the speed of compound production.
INFO	lowercase_definition	obo:PREFER_0000140	IAO:0000115	 The rate at which the biomass is produced over time.
INFO	missing_superclass	obo:PREFER_0000001	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_0000008	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_0000009	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_0000015	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_0000016	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_0000018	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_0000150	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_0000155	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_0000160	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_UNIT_0000169	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_UNIT_0000170	rdfs:subClassOf	
INFO	missing_superclass	obo:PREFER_UNIT_0000171	rdfs:subClassOf	
