Label	ID	Parent
LABEL	ID	SC %
degree Celsius	https://w3id.org/uom/Cel	http://purl.obolibrary.org/obo/PREFER_9000004
degree Fahrenheit based unit	https://w3id.org/uom/%5BdegF%5D	http://purl.obolibrary.org/obo/PREFER_9000004
hour	https://w3id.org/uom/h	http://purl.obolibrary.org/obo/PREFER_9000004
liter	https://w3id.org/uom/L	http://purl.obolibrary.org/obo/PREFER_9000004
milliliter	https://w3id.org/uom/mL	http://purl.obolibrary.org/obo/PREFER_9000004
gram	https://w3id.org/uom/g	http://purl.obolibrary.org/obo/PREFER_9000004
milligram	https://w3id.org/uom/mg	http://purl.obolibrary.org/obo/PREFER_9000004
kilogram	https://w3id.org/uom/kg	http://purl.obolibrary.org/obo/PREFER_9000004
mole	https://w3id.org/uom/mol	http://purl.obolibrary.org/obo/PREFER_9000004
millimole	https://w3id.org/uom/mmol	http://purl.obolibrary.org/obo/PREFER_9000004
liter per minute	https://w3id.org/uom/L.min-1	http://purl.obolibrary.org/obo/PREFER_9000004
liters per hour	https://w3id.org/uom/L.h-1	http://purl.obolibrary.org/obo/PREFER_9000004
millimole per hour	https://w3id.org/uom/mmol.h-1	http://purl.obolibrary.org/obo/PREFER_9000004
gram per hour	https://w3id.org/uom/g.h-1	http://purl.obolibrary.org/obo/PREFER_9000004
gram per gram	https://w3id.org/uom/g.g-1	http://purl.obolibrary.org/obo/PREFER_9000004
gram per litre	https://w3id.org/uom/g.L-1	http://purl.obolibrary.org/obo/PREFER_9000004
gram per gram per hour	https://w3id.org/uom/g.g-1.h-1	http://purl.obolibrary.org/obo/PREFER_9000004
mole per mole	https://w3id.org/uom/mol.mol-1	http://purl.obolibrary.org/obo/PREFER_9000004
mole per hour	https://w3id.org/uom/mol.h-1	http://purl.obolibrary.org/obo/PREFER_9000004
mole per carbon mole	http://purl.obolibrary.org/obo/PREFER_7000000	http://purl.obolibrary.org/obo/PREFER_9000004
mole per carbon mole per hour	http://purl.obolibrary.org/obo/PREFER_7000001	http://purl.obolibrary.org/obo/PREFER_9000004
carbon mole	http://purl.obolibrary.org/obo/PREFER_7000002	http://purl.obolibrary.org/obo/PREFER_9000004
carbon mole per gram	http://purl.obolibrary.org/obo/PREFER_7000003	http://purl.obolibrary.org/obo/PREFER_9000004
carbon mole per carbon mole	http://purl.obolibrary.org/obo/PREFER_7000004	http://purl.obolibrary.org/obo/PREFER_9000004
carbon mole per hour	http://purl.obolibrary.org/obo/PREFER_7000005	http://purl.obolibrary.org/obo/PREFER_9000004
pH based unit	https://w3id.org/uom/%5BpH%5D	http://purl.obolibrary.org/obo/PREFER_9000004
unit of optical density	http://purl.obolibrary.org/obo/PREFER_7000006	http://purl.obolibrary.org/obo/PREFER_9000004
per hour (h⁻¹ or 1/h)	https://w3id.org/uom/h-1	http://purl.obolibrary.org/obo/PREFER_9000004
dimensionless unit	http://purl.obolibrary.org/obo/PREFER_7000007	http://purl.obolibrary.org/obo/PREFER_9000004
percent	https://w3id.org/uom/%25	http://purl.obolibrary.org/obo/PREFER_9000004
revolution per minute	http://purl.obolibrary.org/obo/PREFER_7000008	http://purl.obolibrary.org/obo/PREFER_9000004
pascal	https://w3id.org/uom/Pa	http://purl.obolibrary.org/obo/PREFER_9000004
bar	https://w3id.org/uom/bar	http://purl.obolibrary.org/obo/PREFER_9000004
